states,scores
221120011012001201100210200010020002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221120011012001201100210200012020002001000,"[0, 0, -1, 0, 0, 0, 0]"
220100110010002000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
220110110010002000000200000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
222110111010002000000200000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
222110111010002200000210000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
222110111010002201000210000020000000000000,"[1, 0, 0, 0, 0, 0, 0]"
201110120210002000000100000020000000000000,"[-1, -1, -1, -1, -1, -1, 0]"
020100001020000001000000000000000000000000,"[0.03685, 0, 0, 0, 0, 0, 0]"
220100001020000001000000100000000000000000,"[0.02351, 0, 0, 0, 0, 0, 0]"
220100021020000101000000100000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
220120021020000101000010100000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
200102100010000000000000000000000000000000,"[0.02769, 0, 0, 0, 0, 0, 0]"
200112120010000000000000000000000000000000,"[0.03833, 0, 0, 0, 0, 0, 0]"
220112120010010000000000000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
220112120010012000000100000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
220112120011012000000100000020000000000000,"[0, 0, 0, 0, 0, 0, 0]"
220112120011012000102100000020000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
221100020010001001000200200010010002000000,"[0, 0.24994, 0, 0, 0, 0, 0]"
221100022010001101000200200010010002000000,"[0, 0.3708, 0, 0, 0, 0, 0]"
221100022010001101000220200011010002000000,"[0, 0.28931, 0, 0, 0, 0, 0]"
221101022010001101000220200011010002200000,"[0, 0, 0, 0, 0.13913, 0, 0]"
202100110010002001000200000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
202110110010002001000200200000000000000000,"[0, 0, 0, -1, 0, 0, 0]"
021100000000000000000000000000000000000000,"[0.06883, 0, 0, 0, 0, 0, 0]"
221100000010000000000000000000000000000000,"[0.10845, 0, 0, 0, 0, 0, 0]"
221100020010000001000000000000000000000000,"[-1, -1, -1, 0.08498, 0, 0, 0]"
211102120010012000000100000020000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
211102120210012001000100000020000002000000,"[0, 0, -1, 0, 0, 0, 0]"
221102021110001001000200200010000002000000,"[0, 0.02462, 0, 0, 0, 0, 0]"
221112021110001201000200200010000002000000,"[0, 0, 0, 0, 0.02351, 0, 0]"
221112021110001201000210200010020002000000,"[0, -1, -1, -1, -1, -1, -1]"
220121120010000001000000000000000000000000,"[0, 0, 0, 0, 0, -1, 0]"
211100122010002001000100000020000002000000,"[0, -1, 0, 0, 0, 0, 0]"
201100120000000000000000000000000000000000,"[0.29853, 0, 0, 0, 0, 0, 0]"
